key;en;nl;FR;de
IBAN;IBAN;IBAN;IBAN;IBAN
BIC;BIC;BIC;BIC;BIC
Structured data;Structured data;Gestructureerde gegevens;Communication structurée;Kommunikationsstruktur
july;july;juli;juillet;Juli
Placed;Placed;Geplaatst;placement;Platzierung
Total amount;Total amount;Totaal bedrag;Montant total;Gesamtsumme
Check the {0} codes;Check the {0} codes;Controleer de {0} codes;Vérifier les codes {0};Überprüfen Sie die {0} Codes
Back to {0} code;Back to {0} code;Terug naar {0} code;Retour au code {0};Zurück zum Code {0}
Price starting from: {0};Price starting from: {0};Prijs vanaf: {0};Prix à partir de : {0};Preis ab: {0}
Something is wrong;Something is wrong;Er is een probleem;Il y a un problème;Es gibt ein Problem
No results yet;No results yet;Nog geen resultaten;Aucun résultat pour le moment;Im Moment keine Ergebnisse
Functional cookies ;Functional cookies ;Functionele cookies;Cookies fonctionnels;Funktionale Cookies
Personalised cookies ;Personalised cookies ;Gepersonaliseerde cookies;Cookies personnalisés;Personalisierte Cookies
Marketing cookies ;Marketing cookies ;Marketing cookies;Cookies commerciaux;Kommerzielle Cookies
Subtitle-functional-cookies ;Subtitle-functional-cookies ;Functionele cookies;Cookies fonctionnels;Funktionale Cookies
Subtitle-analytics-cookies ;Subtitle-analytics-cookies ;Analytische cookies;Cookies analytiques;Analytische Cookies
Subtitle-personalised-cookies ;Subtitle-personalised-cookies ;Gepersonaliseerde cookies;Cookies personnalisés;Personalisierte Cookies
Subtitle-marketing-cookies ;Subtitle-marketing-cookies ;Marketing cookies;Cookies commerciaux;Kommerzielle Cookies
Save cookie preferences ;Save cookie preferences ;Bewaar cookie-voorkeuren;Sauvegarder mes préférences;Meine Einstellungen speichern
Accept all cookies ;Accept all cookies ;Accepteer alle cookies;Accepter tous les cookies;Alle Cookies akzeptieren
Yes ;Yes ;Ja;Oui;Ja
No ;No ;Nee;Non;Nein
seo.meta.game.title;seo.meta.game.title;;;
seo.meta.game.description;seo.meta.game.description;;;
Buy;Buy;Kopen;Acheter;Kaufen
I confirm that I have read and agree to the rules of the game.;I confirm that I have read and agree to the rules of the game.;Ik bevestig dat ik de spelregels heb gelezen en ermee akkoord ga.;Je confirme avoir lu et accepté les règles du jeu.;Ich bestätige, dass ich die Spielregeln gelesen habe und ihnen zustimme.
Start ;Start ;Start;Commencer;Anfangen
Your wager({0}) will be immediately deducted from your account;Your wager({0}) will be immediately deducted from your account;Je inzet({0}) zal onmiddellijk van je rekening worden afgetrokken;Votre mise ({0}) sera immédiatement déduite de votre compte.;Ihr Einsatz({0}) wird sofort von Ihrem Konto abgezogen
The consumer does not have the right to cancel the purchase;The consumer does not have the right to cancel the purchase;De consument heeft niet het recht om van de koop af te zien;Le consommateur n'a pas le droit d'annuler l'achat.;Der Verbraucher hat kein Recht, den Kauf zu stornieren
News about the National Lottery?;News about the National Lottery?;Nieuws over de Nationale Loterij?;Des nouvelles de la Loterie Nationale ?;Neues zur Nationallotterie?
News about playing online?;News about playing online?;Nieuws over online spelen?;Des nouvelles sur le jeu en ligne ?;Neuigkeiten zum Online-Spielen?
Do you want emails of Lottery Club?;Do you want emails of Lottery Club?;Wil je e-mails van de Nationale Loterij Club ontvangen?;Voulez-vous recevoir des e-mails du Club de la Loterie Nationale ?;Möchten Sie E-Mails vom Nationallotterie Club erhalten?
End of play in advance?;End of play in advance?;;;Vorzeitig Spielende?
Gains of your draw games?;Gains of your draw games?;Winst van je trekkingsspelen?;Gains de vos jeux de tirage ?;Einnahmen aus Ihren Ziehungsspielen?
Gains of your instant games?;Gains of your instant games?;Winst van je instantspelen?;Gains de vos jeux instantanés ? ;Einnahmen aus Ihren Sofortspielen?
Do you want personalized emails?;Do you want personalized emails?;Wil je gepersonaliseerde e-mails ontvangen?;Voulez-vous recevoir des e-mails personnalisés ?;Möchten Sie personalisierte E-Mails erhalten?
Can we contact you for this?;Can we contact you for this?;Kunnen we hiervoor contact met je opnemen?;Pouvons-nous vous contacter à ce sujet ?;Dürfen wir Sie diesbezüglich kontaktieren?
Unsubscribe from all e-mails;Unsubscribe from all e-mails;Uitschrijven voor alle e-mails;Se désabonner de tous les e-mails;Alle E-Mails abbestellen
No;No;Nee;Non;Nein
You won {0} with your {1} code;You won {0} with your {1} code;Je won {0} met je {1} code;Vous avez gagné {0} avec votre code {1};Sie haben {0} mit Ihrem Code {1} gewonnen
Please provide a valid code;Please provide a valid code;Geef een geldige code op;Veuillez fournir un code valide;Bitte geben Sie einen gültigen Code an
The first code does not have the same first 4 letters as the second code. Please check.;The first code does not have the same first 4 letters as the second code. Please check.;De eerste code heeft niet dezelfde eerste 4 letters als de tweede code. Gelieve dit te controleren.;Le premier code ne reprend pas les mêmes 4 premières lettres que le deuxième code. Veuillez vérifier.;Der erste Code enthält nicht die gleichen ersten 4 Buchstaben wie der zweite Code. Bitte prüfen.
The amount of codes you want to check is too large. The maximum is 1260. Please check.;The amount of codes you want to check is too large. The maximum is 1260. Please check.;Het aantal codes dat je wil controleren is te groot. Het maximum is 1260. Gelieve dit na te kijken.;Le nombre de codes que vous souhaitez vérifier est trop important. Le maximum est de 1.260. Veuillez vérifier.;Sie möchten zu viele Codes überprüfen. Das Maximum beträgt 1.260. Bitte prüfen.
Please enter a valid range;Please enter a valid range;Vul een geldig bereik in;Veuillez entrer une plage valide;Bitte geben Sie einen gültigen Bereich ein
Your code was checked up to and including the {0} drawing ;Your code was checked up to and including the {0} drawing ;Je code werd gecontroleerd tot en met de {0} trekking;Votre code a été vérifié jusqu'au tirage du {0} inclus.;Ihr Code wurde bis zur enthaltenen {0} Ziehung verifiziert.
Your codes were checked up to and including the {0} drawing;Your codes were checked up to and including the {0} drawing;Je codes werden gecontroleerd tot en met de {0} trekking;Vos codes ont été vérifiés jusqu'au tirage du {0} inclus.;Ihre Codes wurden bis einschließlich der {0} Ziehung verifiziert.
On {0};On {0};Op {0};Le {0};An {0}  ?context
Oops! You entered {0} codes instead of {1} codes. How can we help?;Oops! You entered {0} codes instead of {1} codes. How can we help?;Oeps! Je hebt {0} codes ingevoerd in plaats van {1} codes. Hoe kunnen we je helpen?;Oups ! Vous avez saisi des codes {0} au lieu de codes {1}. Comment pouvons-nous vous aider ?;Hoppla! Sie haben Codes {0} anstelle von Codes {1} eingegeben. Wie können wir Ihnen helfen ?
Your code;Your code;Je code;Votre code;Ihr Code
Current password;Current password;Huidig wachtwoord;Mot de passe actuel;Aktuelles Passwort
New password;New password;Nieuw wachtwoord;Nouveau mot de passe;Neues Passwort
Your password must consist of 8 characters. Use a combination of letters, numbers and/or symbols.;Your password must consist of 8 characters. Use a combination of letters, numbers and/or symbols.;Je wachtwoord moet uit 8 tekens bestaan. Gebruik een combinatie van letters, cijfers en/of symbolen.;Votre mot de passe doit comporter 8 caractères. Utilisez une combinaison de lettres, de chiffres et/ou de symboles.;Ihr Passwort muss 8 Zeichen lang sein. Verwenden Sie eine Kombination aus Buchstaben, Zahlen und / oder Symbolen.
Forgot password?;Forgot password?;Wachtwoord vergeten?;Mot de passe oublié ?;Passwort vergessen ?
Save;Save;Opslaan;Sauvegarder;Speichern
Contact title;Contact title;;;
Contact text;Contact text;;;
Decline and continue without login;Decline and continue without login;Weigeren en doorgaan zonder login;Refuser et continuer sans connexion;Ablehnen und ohne Verbindung fortfahren
Agree to terms and conditions and login;Agree to terms and conditions and login;Voorwaarden accepteren en login;Accepter les termes et conditions et se connecter;Akzeptieren Sie die AGB und loggen Sie sich ein
Terms and conditions updated text;Terms and conditions updated text;;;
Terms and conditions updated title;Terms and conditions updated title;;;
Jackpot of about;Jackpot of about;Jackpot van zo'n;Jackpot de près de;Jackpot von um die
{0} win up to {1};{0} win up to {1};{0} win tot {1};{0} gagnez jusqu’à {1};{0} Gewinnen Sie bis zu {1}
until <span class='lnl-highlight'>(0)</span> per grid;until <span class='lnl-highlight'>(0)</span> per grid;tot <span class='lnl-highlight'>(0)</span> per rooster;jusqu’à <span class='lnl-highlight'>(0)</span> par grille;bis zu <span class='lnl-highlight'>(0)</span> für jede Auswahl
until <span class='lnld-highlight'>(0)</span>;until <span class='lnld-highlight'>(0)</span>;tot <span class='lnld-highlight'>(0)</span>;jusqu’à <span class='lnld-highlight'>(0)</span>;bis zu <span class='lnld-highlight'>(0)</span>
Jackpot of ;Jackpot of ;Jackpot van ;Jackpot de ;Jackpot von 
egames.egame.result.winning.low;Congratulations, you have won <span class='prize'>{{prize}}</span>!;Bravo, vous avez gagné <span class='prize'>{{prize}}</span> !;Proficiat, je hebt <span class='prize'>{{prize}}</span> gewonnen!;Herzlichen Glückwunsch, Sie haben <span class='prize'>{{prize}}</span> gewonnen!
egames.egame.result.winning.winnings.low;This amount was immediately credited to your player account.;Ce montant a été immédiatement versé sur votre compte joueur.;Dit bedrag staat inmiddels al op je speelrekening.;Der Betrag wurde bereits Ihrem Spielkonto gutgeschrieben.
egames.egame.result.winning.medium;Congratulations, you have won prize <span class='prize'>{{prize}}</span>!;Bravo, vous avez gagné <span class='prize'>{{prize}}</span> !;Proficiat, je hebt <span class='prize'>{{prize}}</span> gewonnen!;Herzlichen Glückwunsch, Sie haben <span class='prize'>{{prize}}</span> gewonnen!
egames.egame.result.winning.winnings.medium;Winning between € 500 and € 25.000 – and therefore the amount you just won – are automatically transferred to your bank account.;Les gains entre €500 et €25.000  – et donc la somme que vous venez de remporter – sont automatiquement versés sur votre compte bancaire.;Winsten tussen €500 en €25.000 - en dus ook het bedrag dat jij hebt gewonnen – worden automatisch op je bankrekening overgeschreven.;Gewinne zwischen €500 und €25.000 – d. h. also auch der Betrag, den Sie soeben gewonnen haben – werden automatisch auf Ihr Bankkonto überwiesen.
egames.egame.result.winning.high;You have won! Heartiest congratulations!;Bravo, vous avez gagné !;Proficiat, u hebt gewonnen! ;Herzlichen Glückwunsch, Sie haben gewonnen! 
egames.egame.result.winning.winnings.high;To withdraw your winnings, you are invited to come to our headquarters, Belliard street 25-33, 1040 Brussels.;Pour tous renseignements complémentaires et pour prendre rendez-vous, nous vous invitons à prendre contact avec la Cellule Gagnants au 02/2384554, 02/2384626 ou 0494/109967 (de préférence pendant les heures de bureau). ;Voor bijkomende inlichtingen en om een afspraak te maken, neem je contact op met de Cel Winnaarbegeleiding. Daartoe kan je bellen naar één van de volgende nummers: 02/2384626, 02/2384554 of 0494/109967 (het liefst tijdens de kantooruren).  ;Für weitere Auskünfte und eine Terminabsprache wenden Sie sich bitte an das Büro für die Gewinnerbetreuung. Zu diesem Zweck können Sie eine der folgenden Telefonnummern anrufen: 02/2384626, 02/2384554 oder 0494/109967 (am besten während der Bürozeiten).
egames.egame.result.limits.almostReached;During the last 24 hours you have played {{amount}} e-games. You are approaching your game limit.;Durant les dernières 24 heures, vous avez joué à {{amount}} jeux instantanés. Vous approchez de votre limite de jeu.;De afgelopen 24 uur speelde je {{amount}} e-games. Je hebt je speellimiet bijna bereikt.;In den letzten 24 Stunden haben Sie {{amount}} e-Spiele gespielt. Sie haben Ihr Spiellimit fast erreicht.
egames.egame.result.limits.notReached;During the last 24 hours you have played {{amount}} {{played == '1' ? 'e-game' : 'e-games'}}.;Durant les dernières 24 heures, vous avez joué à {{amount}} {{played == '1' ? 'e-game' : 'e-games'}}.;De afgelopen 24 uur speelde je {{amount}} {{played == '1' ? 'e-game' : 'e-games'}}.;In den letzten 24 Stunden haben Sie {{amount}} {{played == '1' ? 'e-game' : 'e-Games'}} gespielt.
egames.egame.result.limits.reached;You have reached your game limit ({{amount}} e-games / 24h). You can momentarily not buy e-games.;Vous avez atteint votre limite de jeu ({{amount}} e-games/24h). Vous ne pouvez momentanément plus acheter de jeux instantanés.;Je hebt je speellimiet bereikt ({{amount}}  e-games/24u). Voorlopig kan je geen e-game meer aankopen.;Sie haben Ihr Spiellimit erreicht ({{amount}} e-Games/24h). Vorläufig können Sie kein e-Spiel mehr kaufen.
egames.egame.result.winning.freeBets;Congratulations, you have won a free!;Bravo,vous avez remporté un billet gratuit !;Proficiat, je hebt een gratis virtueel biljet!;Herzlichen Glückwunsch, Sie haben ein gratis Rubbellos gewonnen!
egames.egame.result.winning.freeTicket.buy;Play your free “{{name}}” game now;JOUER À VOTRE JEU « {{name}} » GRATUIT MAINTENANT;Je gratis “{{name}}” spel nu spelen;Jetzt Ihr gratis Rubbellos „{{name}}“ spielen
egames.egame.result.winning.freeTicket.text;You have won a “{{name}}” game (value is € {{price}}). Before you can play another game, you have to finish you free ticket.;vous avez remporté un billet « {{name}} » gratuit d’une valeur de € {{price}}! Avant de participer à un autre jeu, vous devez d’abord jouer ce jeu gratuit.;je hebt een gratis virtueel biljet “{{name}}” (t.w.v. € {{price}}) gewonnen. Vóór je een ander spel kunt spelen, moet je eerst dit gratis spel spelen.;Sie haben ein gratis Rubellos „{{name}}“ im Wert von € {{price}} gewonnen! Bevor Sie ein anderes Spiel beginnen, müssen Sie erst dieses gratis Spiel spielen.
egames.egame.result.winning.freeTicket.title;Congratulations,;Bravo,;Proficiat,;Herzlichen Glückwunsch,
In retail;In retail;In de winkel;En magasin;im Laden
Participate from {0};Participate from {0};Vanaf {0};À partir de {0};Ab {0}
